Id,price,floor,floorTotal,metroDistance,area,rooms,distanceToCentre
1045,3200000,7,14,120,38.9,1,31.452831016591826
1046,2470000,5,5,30,31.7,1,23.44102084480078
1047,3982250,14,17,168,42.5,1,25.667165179265147
1048,3789560,1,17,168,42.2,1,25.667165179265147
1049,88000000,3,7,10,98.0,2,2.7754412235093158
1050,81266330,45,53,11,164.0,4,6.394480202929105
1051,191000000,45,53,11,421.0,5,6.394480202929105
1052,36000000,19,32,17,167.0,4,11.45190134295194
1053,29000000,27,30,15,110.0,1,5.301289306114624
1054,123881600,6,8,5,211.0,4,1.8984495611750498
1055,19900000,31,32,10,67.0,2,7.7595064091696075
1056,4258620,6,17,328,40.1,1,37.64812620895281
1057,3350000,3,3,200,44.0,1,35.289810616824994
1058,6200000,6,16,10,36.0,1,14.586105305984546
1059,4036900,10,12,328,36.5,1,37.64812620895281
1060,4500000,2,5,160,51.0,1,22.964768695777664
1061,4800000,7,12,80,32.7,1,18.028602208122518
1062,4750000,7,9,720,68.5,3,101.17330369496221
1063,14000000,14,22,13,99.6,4,16.36223574591316
1064,3200000,5,5,120,44.0,2,40.19249489208809
1065,12549999,12,19,7,48.2,2,4.588798205474141
1066,2990000,2,14,120,36.2,1,25.380016227289524
1067,2730610,12,17,144,36.9,1,25.28851362340968
1068,2782410,11,17,144,37.6,1,25.28851362340968
1069,3026600,15,17,144,40.9,1,25.28851362340968
1070,4125600,12,17,144,56.3,2,25.28851362340968
1071,4067250,13,16,144,49.3,2,25.43285414318848
1072,2830650,13,16,144,33.9,1,25.43285414318848
1073,3544870,16,17,120,37.5,1,20.70545025667752
1074,8600000,7,9,80,69.0,2,21.72002160335209
1075,3412070,17,17,120,38.8,1,20.455013052118723
1076,3408960,12,17,120,37.3,1,20.455013052118723
1077,78499000,10,50,5,147.0,4,8.045389097356157
1078,9750000,6,9,7,59.0,3,11.192136857152123
1079,2800000,6,9,232,33.0,1,38.195299598482876
1080,3100000,3,4,360,34.0,1,25.22669780853743
1081,73800000,4,6,7,203.0,5,2.1435693414294286
1082,6750000,12,12,18,52.0,2,17.88850903114819
1083,33500000,5,32,20,171.0,4,11.45190134295194
1084,22450000,17,21,20,106.0,3,11.45190134295194
1085,5000000,16,16,320,100.0,3,65.47567330800385
1086,8100000,15,17,160,76.0,3,30.983170355473103
1087,9300000,11,17,80,75.0,3,18.059817208093826
1088,3500000,3,14,480,50.4,1,64.3865494884593
1089,29000000,6,28,20,147.0,3,11.45190134295194
1090,29000000,6,28,20,148.0,4,11.45190134295194
1091,4643420,8,8,120,42.4,1,23.738830459584477
